OBJECTID,Codigo_Interno_del_Situad,Tipo_Contenedor,Modelo,Descripcion_Modelo,Cantidad,Lote,Distrito,Barrio,Tipo_Via,Nombre,Numero,Coordenada_X,Coordenada_Y,Longitud,Latitud,Direccion
5895,,RESTO,R0800CT,,,1,LATINA,LUCERO,,,,436628.2727,4472782.118,-374681609,40.40323956,
5896,,RESTO,R0800CT,,,1,LATINA,LUCERO,,,,436641.12,4472606.17,-374664719,40.40165552,
5897,,RESTO,R0800CT,,,1,LATINA,LUCERO,,,,436826.65,4472923.33,-374449248,40.40452673,
5898,,RESTO,R0800CT,,,1,LATINA,LUCERO,,,,436826.65,4472923.33,-374449248,40.40452673,
5899,,RESTO,R0800CT,,,1,LATINA,LUCERO,,,,436641.12,4472606.17,-374664719,40.40165552,
5900,,RESTO,R0800CT,,,1,LATINA,LUCERO,,,,436641.12,4472606.17,-374664719,40.40165552,
5901,,RESTO,R0800CT,,,1,LATINA,LUCERO,,,,436949.21,4473278.34,-374308341,40.40773409,
5902,,RESTO,R0800CT,,,1,LATINA,LUCERO,,,,436673.57,4473348.6,-374633868,40.4083461,
5903,,RESTO,R0800CT,,,1,LATINA,LUCERO,,,,436673.57,4473348.6,-374633868,40.4083461,
5904,,RESTO,R0800CT,,,1,LATINA,LUCERO,,,,436080.5571,4473143.84,-375330655,40.40645622,
5905,,RESTO,R0800CT,,,1,LATINA,LUCERO,,,,436673.57,4473348.6,-374633868,40.4083461,
5906,,RESTO,R0800CT,,,1,LATINA,LUCERO,,,,436080.5571,4473143.84,-375330655,40.40645622,
5907,,RESTO,R0800CT,,,1,LATINA,LUCERO,,,,436463.53,4472923.74,-374877151,40.40450279,
5908,,RESTO,R0800CT,,,1,LATINA,LUCERO,,,,436463.53,4472923.74,-374877151,40.40450279,
5909,,RESTO,R0800CT,,,1,LATINA,LUCERO,,,,436463.53,4472923.74,-374877151,40.40450279,
5910,,RESTO,R0800CT,,,1,LATINA,LUCERO,,,,436066.0425,4473035.205,-375346668,40.40547648,
5911,,RESTO,R0800CT,,,1,LATINA,LUCERO,,,,436066.0425,4473035.205,-375346668,40.40547648,
5912,,RESTO,R0800CT,,,1,LATINA,PUERTA DEL ANGEL,,,,437809.11,4473016.54,-373292429,40.40544037,
5913,,RESTO,R0800CT,,,1,LATINA,LUCERO,,,,436627.4042,4472623.591,-374681054,40.40181142,
5914,,RESTO,R0800CT,,,1,LATINA,PUERTA DEL ANGEL,,,,438389.56,4473527.93,-372613367,40.41009035,
5915,,RESTO,R0800CT,,,1,LATINA,LUCERO,,,,436531.72,4473324.04,-374800788,40.40811405,
5916,,RESTO,R0800CT,,,2,HORTALEZA,CANILLAS,,,,445167.0,4479480.0,-364677427,40.46418388,
5917,,RESTO,R0800CT,,,1,LATINA,PUERTA DEL ANGEL,,,,437661.02,4473282.51,-373469545,40.40782527,
5918,,RESTO,R0800CT,,,1,LATINA,PUERTA DEL ANGEL,,,,437809.11,4473016.54,-373292429,40.40544037,
5919,,RESTO,R0800CT,,,1,LATINA,LUCERO,,,,436363.22,4472108.57,-374987207,40.39715175,
5920,,RESTO,R0800CT,,,1,LATINA,LUCERO,,,,436531.72,4473324.04,-374800788,40.40811405,
5921,,RESTO,R0800CT,,,1,LATINA,PUERTA DEL ANGEL,,,,438411.88,4473641.88,-372588166,40.41111852,
5922,,RESTO,R0800CT,,,1,LATINA,LUCERO,,,,436149.78,4473214.43,-375249789,40.40709744,
5923,,RESTO,R0800CT,,,2,HORTALEZA,CANILLAS,,,,445172.0,4479423.0,-364671037,40.46367073,
5924,,RESTO,R0800CT,,,1,LATINA,LUCERO,,,,436673.8222,4472058.324,-374620735,40.39672278,
5925,,RESTO,R0800CT,,,1,LATINA,PUERTA DEL ANGEL,,,,437548.85,4473740.33,-373606226,40.41194109,
